fund_id,date,nav
FND009,2026-01-08,1.1629
FND011,2025-10-13,1.0479
FND015,2025-09-29,1.0136
FND018,2025-12-17,1.3375
fnd020,2026-06-16,1.5023
FND001,2025-09-03,1.4754
FND011,2025-08-15,1.0343
FND001,2025-11-10,1.3405
FND005,2026-01-29,1.0289
FND007,2026-04-01,1.11
FND012,2025-09-09,
FND004,2025-12-24,2.0466
FND005,2025-09-26,1.0127
FND005,2026-06-17,1.077
FND017,2026-04-30,1.3232
FND013,2026-02-02,1.4053
FND010,2026-06-23,2.2802
FND008,12/01/2026,3.8558
FND001,2026-02-06,1.6109
FND002,2025-09-05,1.1794
FND013,2025-09-12,1.4062
FND013,2025-11-25,1.3379
FND014,2026-02-27,0.8224
FND010,2025-10-31,2.0617
FND013,2026-03-02,1.3629
FND011,2025-11-26,1.0215
FND017,2026-05-08,1.3628
FND001,2025-08-05,1.2579
FND010,2026-06-24,-
FND017,2025-12-18,1.2618
FND014,2026-04-08,0.7822
FND018,2025-07-18,1.371
FND009,2026-05-27,1.2195
FND020,2025-09-19,1.7524
FND010,2026-02-16,RM 1.9271
FND005,31/12/2025,1.0411
FND010,2026-02-26,1.9557
FND012,2026-02-17,2.3278
FND002,2026-05-08,1.309
FND017,2026-03-30,1.2986
FND010,2026-02-25,2.006
FND009,2026-03-16,1.1816
FND004,2025-07-04,2.038
FND009,2025-10-21,1.1254
FND019,2026/03/04,1.3142
FND015,2026-05-28,0.9468
FND005,2025-09-16,2.0356
FND012,2026-01-05,2.1485
FND006,2025-08-11,0.8234
FND014,2025-10-14,0.9664
FND013,2025-09-04,1.4018
FND005,2025-12-19,1.0438
FND015,2026-01-22,1.0109
FND020,2025-08-12,1.965
FND005,2025-12-25,1.0417
FND012,2025-09-22,2.5676
FND019,2026-03-17,1.283
FND012,2026-05-25,2.3909
FND006,2025-12-31,0.7877
FND005,2025-12-29,1.0436
FND011,2025-11-18,1.0349
FND010,2025-12-22,1.9293
FND004,2026-02-16,2.2107
FND014,2025-11-24,0.9184
FND003,2026-02-13,1.1701
FND004,2026-05-14,2.2105
FND010,2025-11-20,2.0956
FND019,16 Oct 2025,1.2853
FND009,2026-06-11,1.2275
FND006,2026-04-21,0.7541
FND019,2026-03-30,1.3094
FND001,2026-03-23,1.6819
FND016,2025-09-10,1.4085
FND012,2026-04-29,2.1049
FND009,2026-02-12,1.1658
FND020,2025-07-18,1.8863
FND016,2025-07-21,-
FND005,2025-07-08,RM 1.0063
FND002,2025-08-27,null
FND002,2026-02-20,1.3412
FND007,2025-08-12,1.1017
FND002,2025-08-01,1.176
FND002,2026-03-02,1.3151
 FND005,27 Mar 2026,1.0544
FND016,2025-08-20,1.333
FND013,2026-05-12,1.2988
FND005,2026-02-04,1.0243
FND020,2026-03-26,1.9274
FND002,2025/10/23,1.2427
FND006,09-12-2025,0.8608
 FND018,2026-06-05,1.4388
FND016,2026-05-19,1.3346
FND007,2026-01-30,1.0817
FND020,2025-07-07,1.922
FND018,2025-08-11,1.312
FND017,2026-01-28,1.2892
FND002,2025-10-13,1.2545
FND010,2026-01-19,1.9803
FND001,30 Jul 2025,1.2783
FND015,2026-01-06,1.0194
FND017,2025-07-29,1.2418
FND005,2026-03-03,1.0487
FND004,2025-12-02,2.1424
FND007,2025-12-23,1.0728
FND004,2026-03-04,2.3757
FND010,2025-11-13,2.0845
FND003,2025-12-25,1.1776
FND011,2025-09-15,1.0453
FND002,2025-07-01,1.2186
FND005,2025-08-27,1.0042
FND019,2025-08-15,1.2097
FND002,2026-06-09,1.2787
FND003,2026-01-22,1.1731
FND009,2026-06-24,1.2152
FND019,2025-12-26,1.2906
FND007,2025-07-23,1.1118
FND014,2026-02-24,0.8011
FND018,2026-04-28,1.4731
FND003,2026-03-23,1.1564
FND015,2025-07-28,1.0004
FND001,2025-11-11,1.3337
FND013,2026-03-05,1.3321
FND009,2026-03-25,1.1896
FND005,2026-02-17,1.0352
FND002,2026-02-02,1.2953
FND015,2026-03-13,0.9618
FND011,2026-05-04,1.0063
FND009,2026-04-01,1.1916
FND011,2025-12-26,1.003
FND018,2026-06-22,1.4513
FND012,2025-12-26,2.1231
FND012,2025-07-16,2.4718
FND005,2025/11/04,1.0376
FND020,2025-08-04,2.0004
FND001,2026-02-02,1.6908
FND001,2025-10-01,1.5008
FND018,2025-12-26,1.3392
FND017,2025-07-16,1.2107
FND007,2026-02-03,1.0834
FND013,2025-08-12,1.3824
FND015,2025-09-05,1.0206
FND001,2025-12-25,1.5625
FND017,2025-10-27,1.1286
FND018,2025-09-29,1.409
FND006,2025-09-03,0.8224
FND019,2025-10-09,1.3247
FND013,2025-11-21,1.3587
FND001,2025-08-15,1.3961
FND011,2026-03-10,0.9769
FND007,2025-09-10,1.0696
FND007,2026-04-17,1.0971
FND017,2025-08-04,1.2636
FND008,22/08/2025,3.0523
FND009,2025-08-07,1.1068
FND012,2025-09-26,2.4673
 FND016,2026-04-15,1.3097
FND012,2025-10-08,2.5446
FND004,2026-06-24,2.337
FND006,2026-03-04,0.776
fnd012,2026-01-08,2.1284
FND019,2025-07-15,1.2738
FND002,2026-02-17,1.3482
FND010,2026-02-02,1.8401
FND012,2025-10-20,2.4093
FND020,2026-04-16,1.5668
FND003,2025-11-21,1.1504
FND009,2025-09-19,1.0965
FND014,2025-08-20,0.7733
FND004,2025-09-23,2.1325
FND018,01-13-2026,1.3535
FND016,2025-09-04,1.3793
FND019,2025-10-31,1.2933
FND006,2026-03-18,0.787
FND003,2026-05-07,1.1496
FND013,2026-01-21,1.3875
FND016,2025-08-06,1.3723
FND010,2026-06-17,2.1842
FND015,2026-01-08,1.025
FND007,2025-08-21,1.0933
FND009,2025-12-02,1.1554
FND011,2025-12-18,1.0168
FND010,2025-07-01,1.706
FND020,15 Jan 2026,2.1335
FND013,2026-04-02,1.3397
FND013,2026-01-19,1.4181
FND008,2026-04-21,3.6173
FND008,2026-05-15,3.7783
FND013,2025-08-18,1.3727
FND003,2026-01-06,1.7553
FND004,2026-04-10,2.4283
FND009,2025-10-06,1.1111
FND019,2025-10-03,1.3107
FND005,2026-02-24,1.0465
FND004,2026-02-05,2.0943
FND010,2026-04-22,2.0037
FND010,2025-08-25,1.89
FND013,2026-02-27,1.363
FND007,2025-09-17,1.0654
FND019,2025-09-17,-
FND019,2026-01-13,1.2795
FND017,2026-03-06,1.2877
FND010,2026-04-13,1.8838
FND016,2026-05-08,1.3495
FND008,2025-10-01,3.1879
FND008,2025-08-21,3.0396
FND005,2026-02-16,1.0319
FND012,2026-01-14,2.1628
FND015,2026-03-02,0.9681
FND013,2025-12-29,1.4038
FND016,2026-01-15,1.2694
FND007,2026-02-23,1.088
FND008,2025-08-14,2.914
FND020,2025-09-17,1.7822
FND014,2025-10-10,0.9425
FND004,2026-05-04,RM 2.289
FND011,2026-03-26,0.9799
FND013,2026-04-15,1.3458
FND008,2026-04-17,3.647
FND004,2026-01-29,2.0982
FND002,2025-12-03,1.289
FND004,2025-09-05,2.0969
FND007,2026-02-19,1.0827
FND004,2026-06-01,2.1207
FND004,2025-09-09,2.1327
FND012,2026-05-29,2.4065
FND020,2025-12-30,1.9705
FND011,2025-09-05,1.0449
FND010,2026-05-20,2.1954
FND005,2026-01-06,1.036
FND016,2026-03-10,1.326
FND020,2025-12-08,1.9296
FND013,2025-12-12,1.347
FND015,2026-06-19,0.955
FND001,2025-07-25,1.2843
FND008,2026-03-11,3.4244
FND18,2026-05-12,1.4285
FND016,2026-01-05,1.2941
FND004,2025-10-15,2.1924
FND005,2026-03-11,1.058
FND015,2026-01-14,1.016
FND012,2025-08-15,2.3916
FND003,2025-10-03,1.1398
FND018,2025-09-24,1.3892
FND016,2025-08-29,1.3533
FND001,2025-11-20,1.4348
FND007,2026-06-12,1.0895
 FND011,2025-10-14,1.0535
FND009,2026-05-07,1.2169
FND001,2026-01-06,1.6419
FND008,2025-10-24,3.3275
FND020,2026-01-07,2.0273
FND007,2025-12-12,1.0563
FND003,2025-10-23,1.1228
FND011,2026-05-27,0.9927
FND006,2026-02-17,0.7795
FND017,12 May 2026,1.3368
FND017,2025-12-29,1.2473
FND002,2026-03-13,1.3302
FND010,2026-01-27,1.92
FND009,2026-02-20,1.1642
FND019,2025-10-14,1.3109
FND005,2026-06-24,1.0754
FND017,2026-02-24,1.3099
FND002,2025-11-27,1.2745
FND013,2025-08-25,1.3628
FND005,2025-09-05,1.0071
FND016,2025-10-22,1.3857
FND016,2025-09-16,1.3736
FND003,2026-01-27,1.1721
FND004,2025-09-02,2.1197
FND020,2026-03-16,1.9371
FND020,2025-08-29,1.8205
FND018,2026-02-23,1.3207
FND011,2025-11-12,1.0361
FND010,2026-03-12,1.8523
FND011,2025-10-20,1.0508
FND016,2025-12-04,1.3107
FND018,2025-10-01,1.3967
FND011,2025-09-25,1.0316
FND003,2025-11-20,1.1462
FND017,2026-05-04,1.3359
FND005,2026-04-24,1.0814
FND18,2026-03-20,1.401
FND004,2025-08-05,2.1373
FND010,2026-05-07,2.0902
FND018,2026-02-05,1.3262
FND017,2026-04-24,1.337
FND015,2025-10-27,1.024
FND012,2025-07-21,2.4834
FND017,2025-10-17,1.2147
FND006,2025-10-08,0.8947
FND012,2025-11-05,2.3963
FND005,2025-10-14,1.023
FND014,2025-09-17,0.9187
FND010,2026-05-11,2.1261
FND020,2026-03-06,1.8216
FND016,26/12/2025,1.2879
FND007,2026-03-25,1.1136
FND014,2025-09-04,0.8263
FND019,2026-01-23,1.2949
FND004,2026-06-11,2.1787
FND007,15/01/2026,1.0819
FND016,2026-05-13,1.3689
FND019,2026-01-30,1.3221
FND017,2025-09-08,1.1542
FND007,2026-05-11,1.0759
FND004,2025-08-01,2.1581
FND011,2026-03-16,0.9774
FND017,2026-02-18,1.2972
FND001,2025-11-27,1.4939
FND014,2026-04-20,0.7707
FND006,2025-10-15,0.896
FND013,2026-04-23,1.3516
FND011,2026-01-28,0.9977
FND004,2026-01-22,2.0298
FND015,2026-03-10,0.9703
FND018,2026-05-14,1.4439
FND002,2025-12-10,1.3338
FND 011,2026-05-21,0.9961
FND005,2025-12-10,1.0419
FND015,2026-06-12,0.9555
FND018,2025-08-01,1.3119
FND003,2026-04-16,1.1479
FND016,2026-01-22,1.2828
FND002,2026-01-13,1.3064
FND004,2026-02-04,2.0519
FND001,2026-02-11,1.5771
FND006,2026-06-12,0.7683
FND016,2026-06-10,1.3023
FND018,2026-04-13,1.4233
FND020,2025-08-20,1.8631
FND007,2026-02-13,1.077
FND012,2026-06-01,2.3747
FND013,2025-12-16,1.3614
FND006,11 Mar 2026,0.7945
FND005,2025-08-11,0.9947
FND014,2025-09-19,0.9076
FND002,2026-02-18,1.3517
FND001,2025-10-30,1.3747
FND017,2025-12-05,1.2081
FND020,2026-05-15,1.5922
FND008,2026-01-22,3.7636
FND020,2025-12-11,1.9246
FND012,2026-04-16,2.0426
FND010,2025-09-04,1.8758
FND017,2025-08-19,1.2325
FND010,2026-05-27,2.1418
FND011,2026-05-29,0.9987
FND017,2026-04-02,1.2811
FND013,2025-08-28,1.3711
FND019,2026-05-14,1.3227
FND012,2025-09-04,2.5922
FND013,2026-03-11,1.35
FND004,2026-04-01,2.4408
FND004,12-26-2025,2.1162
FND012,2026-04-09,2.0966
FND006,2026-02-25,0.7878
FND015,2026-05-04,0.9415
FND 015,2025-12-19,1.0141
FND006,2026-05-19,0.744
FND006,2025-12-12,0.8186
FND006,2025-12-23,0.7989
FND012,2026-04-20,2.0394
FND018,2026-04-01,1.405
FND001,2025-09-09,1.4443
FND014,2026-01-28,-
FND017,2025-08-01,
FND006,2025-08-26,0.8259
FND012,2025-08-28,2.5263
FND009,2026-06-12,1.2315
FND008,2025-10-30,3.5579
FND010,2025-08-06,1.679
FND006,2025-08-08,0.8155
FND002,2026-05-29,1.2802
FND014,2025-07-03,0.7266
FND008,2025-09-01,3.1292
FND002,2025-09-03,1.1834
FND011,2026-02-12,0.9819
FND012,2026-03-20,2.1072
FND006,2026-04-15,0.7689
FND004,2025-10-24,2.1831
FND011,2026-04-09,0.9778
FND017,2025-07-14,1.1864
FND005,2026-05-04,1.0622
FND012,2025-10-16,2.4878
FND020,2026-06-24,1.486
FND013,2025-08-06,1.3621
FND018,12-01-2025,1.3215
FND003,2026-06-03,1.1561
FND009,2026-06-01,1.223
FND015,2026-05-05,0.9426
FND016,2025-09-03,1.3834
FND004,2025-07-09,2.0142
FND009,2025-12-31,1.1656
FND013,2026-02-20,1.3415
FND008,2025-08-08,3.0586
FND003,2026-02-20,1.1701
FND016,2026-05-29,1.342
FND015,13/04/2026,0.9444
FND010,2025-10-01,1.9112
FND009,2025-07-17,1.0925
FND005,2025-12-05,1.039
FND011,2026-03-20,0.9838
FND010,2025-09-12,N/A
FND020,2025-12-25,1.9418
FND020,2026/01/23,2.1015
FND016,2026/04/03,1.317
FND019,2025-09-04,1.2182
FND003,2026-06-15,1.1707
FND010,2025-12-01,2.0364
FND020,2026-03-18,1.9072
FND006,2026-03-26,0.7723
FND018,2026-05-25,1.3826
FND020,2026-04-23,1.5559
FND010,2026-01-07,1.9979
FND008,2026-04-06,3.593
FND012,2025-12-11,2.2243
FND012,2026-06-23,2.061
FND011,2026-05-19,1.0048
FND012,2025-11-19,2.3229
FND014,2026-01-15,0.815
FND007,2025/10/10,1.0621
FND003,2025-10-27,1.1235
FND006,2026-06-03,0.7577
FND010,2026-02-03,1.8719
FND019,2026-05-26,1.3224
FND010,2026-06-10,2.1586
FND017,2025-08-08,1.2708
fnd011,2026-04-27,0.9981
FND006,2025-09-25,0.8458
FND018,2025-07-04,1.393
FND015,2026-02-02,0.9979
FND014,2025-10-20,0.9624
FND020,2025-11-18,1.9999
FND010,2025-08-20,1.8445
FND008,2025-07-03,3.1132
FND013,2026-03-19,1.3371
FND015,2026-02-03,0.9946
FND005,2026-03-20,
FND002,2025-11-18,1.2281
FND012,2025-11-11,-
FND001,2026-02-18,1.6507
FND005,2026-06-25,1.0712
FND019,2025-08-22,1.2338
FND020,2026-02-13,
FND008,2026-03-10,3.469
FND008,2025-10-29,3.4993
FND008,2025-07-28,3.1027
FND001,08-25-2025,1.4253
FND017,2025-11-19,1.1728
FND016,2025-12-24,1.2857
FND013,2026-04-07,1.3312
FND020,2025-10-21,2.028
FND018,2025-11-03,1.3837
FND006,2025-08-27,0.8229
FND005,2025-09-29,1.0143
FND005,2025-10-02,1.017
FND005,2025-07-11,1.0036
FND007,08-07-2025,1.096
FND008,2025-12-15,4.1434
FND004,2025-07-08,2.0226
FND017,2026-04-22,1.3251
FND008,2025-09-29,3.1758
FND006,2026-05-01,0.7471
FND004,2025-10-20,2.1354
FND016,2025-09-22,1.388
FND006,2026-04-10,0.7722
FND007,2026-01-05,1.069
FND017,2026-01-22,1.2995
FND011,2026-04-30,1.0021
FND006,2026-01-22,0.8125
FND014,2026-04-22,0.773
FND007,2025-09-19,1.0656
FND011,2025-09-18,1.0413
FND015,2025-09-01,1.0259
FND018,2026-03-12,1.3917
FND018,2026-01-16,1.374
FND011,2026-01-22,0.9952
FND017,2026-01-07,1.291
FND16,2026-01-28,1.2847
FND016,2026-02-02,1.265
FND003,2025-12-30,1.1747
FND010,2026-02-09,1.8859
FND002,2026-02-11,1.339
FND018,17/06/2026,1.4591
FND007,2026-02-17,1.0762
FND003,2025-08-19,1.1077
FND002,2026-04-06,1.3178
FND005,2025-10-14,1.023
FND017,2025-12-16,1.2649
FND004,2026-06-29,2.3137
FND003,2026-01-12,1.1791
FND011,2026-03-12,0.9723
FND002,2026-06-25,1.1977
FND005,2026-05-12,1.0672
FND010,2026-03-04,1.8679
FND009,2026-02-23,1.1642
FND016,2026-04-20,RM 1.2891
FND014,2025-12-02,0.8981
FND010,02-05-2026,1.8756
FND014,2026-04-02,0.7673
FND017,2025-09-16,1.171
FND016,2026-06-02,1.3454
FND007,2025-10-14,1.0618
FND019,2026-05-11,1.2983
FND002,2025-10-22,1.2338
FND003,2026/05/29,1.1598
FND014,2026-06-09,0.7273
FND006,04 Dec 2025,0.8301
FND020,2026-03-02,0.9279
FND006,2026-04-02,0.7634
FND017,2025-09-19,1.1895
FND017,2025-12-25,1.2787
FND014,2025-08-04,0.7258
FND017,2025-10-31,1.1404
FND011,2026-05-20,1.0021
FND010,2025-11-04,2.1033
FND007,2025-07-01,1.1206
FND014,2026-06-15,0.7432
FND020,2025-07-14,1.9248
FND007,2025-09-26,1.0691
fnd002,2025-07-03,1.2183
FND003,2025-07-31,1.0796
FND015,2026-05-14,0.9426
FND011,2026-01-07,0.9985
FND004,2026-02-17,2.2256
FND017,2026-01-29,1.2874
FND009,2025-12-03,1.1576
FND009,2026-02-03,1.1632
FND009,2026-06-03,1.2257
FND012,2026-01-30,2.2683
FND008,2026-06-11,4.1967
FND020,2026-01-13,2.0835
FND019,2025-11-11,1.2508
FND006,2026-01-21,0.8009
FND007,2025-12-26,1.0708
FND007,2026-06-02,1.0954
FND002,2026-03-24,1.3263
FND010,2025-12-29,2.0057
FND005,2025-12-02,1.0421
FND008,2025-09-26,3.1962
FND015,2025-10-16,1.0235
FND014,2025-07-29,0.6944
fnd018,2026-04-16,1.404
FND018,2025-10-06,1.3937
FND014,2025-08-11,0.7348
FND014,2025-11-27,0.9323
FND014,2025-09-11,0.8843
FND010,2025-07-31,1.6405
FND016,2025-07-09,1.4442
FND005,2025-11-21,1.0384
FND003,2026-06-19,1.179
FND011,2025-12-16,1.0221
FND010,2025-08-26,1.8701
FND012,2025-08-01,2.5504
FND007,2025-07-22,1.1097
FND013,2025-07-24,1.3403
FND014,2025-10-23,0.972
FND001,2025-08-20,1.4009
FND007,2025-07-30,1.1094
FND009,2025-09-01,1.104
FND013,2026-04-28,1.3422
FND012,2026-03-10,2.1308
FND016,2026-01-13,1.2412
FND017,2025-11-06,1.1493
FND016,2025-12-01,1.3319
FND013,2025-10-14,1.3471
FND004,2026-05-12,2.2457
FND017,2026-05-19,1.3502
FND005,2025-12-12,1.0479
FND008,2026-04-16,3.6801
FND009,2025-11-24,1.1475
FND018,2025-07-21,1.3629
FND004,2025-12-30,2.0974
FND009,2026-06-23,1.2175
FND019,2025/09/03,1.2377
FND002,2025-11-26,1.2708
FND019,2025-10-28,1.2776
FND012,2025-11-06,2.3968
FND006,2026-04-07,0.7749
FND008,2026-01-23,3.7893
FND016,2026-05-07,1.3491
FND009,2025-10-20,1.1258
FND020,2025-09-08,1.7135
FND015,2026-04-10,0.9442
FND009,2026-04-06,1.2015
FND007,2026-06-22,1.0892
FND009,2026-03-03,1.1753
FND006,2025-09-24,
FND004,2026-03-24,2.3223
FND007,2025-09-24,1.0675
FND019,2025-07-25,1.2194
FND006,2025-09-02,0.8322
FND018,2026-01-09,1.3316
FND003,2026-01-30,1.1798
FND007,2026-04-15,1.0912
FND015,2025-08-26,1.0187
FND008,2026-05-26,3.8801
FND005,2026-06-15,1.0767
FND005,2025-12-16,1.0513
FND01,2026-01-27,1.6993
FND008,2025-12-01,3.9588
FND016,2026-05-18,1.3386
FND005,2025-10-08,1.012
FND020,2025-07-17,1.8728
FND012,2026-02-12,2.2979
FND006,2026-01-15,0.7872
FND015,2025-10-14,1.0249
FND005,2026-05-07,1.0646
FND002,2026-01-05,1.2864
FND002,2026-05-27,1.2999
FND019,2026-05-13,1.3139
FND003,2025-11-03,1.1427
FND007,2025-09-16,1.0668
FND010,2026-01-15,1.989
FND001,2025-09-01,1.4513
FND019,2025-09-24,1.2697
FND014,17 Dec 2025,0.8583
FND018,2026-04-06,1.4205
FND020,2026-03-04,1.8804
FND016,2025-08-15,1.3541
FND012,2026-04-07,2.0326
FND15,2025-08-20,1.0085
FND019,2025-11-04,1.2707
FND005,2026-06-22,1.0797
FND003,09/12/2025,1.154
FND013,2026-06-30,1.3306
FND002,2026-02-06,1.3157
FND003,2026-02-02,1.1835
FND009,2025-09-17,1.0975
FND010,2026-03-06,1.8404
FND010,2026-01-05,2.0072
FND014,2026-04-24,0.7818
FND009,2025-12-26,1.1617
FND001,2025-12-19,1.514
FND020,2026-06-22,1.5331
FND006,2025-10-23,0.8633
FND020,2025-08-28,1.8321
FND008,2026-04-30,3.575
FND015,2025-12-25,1.0155
FND017,2026-05-26,1.3445
FND015,2026-03-12,0.9635
FND007,2025-11-27,1.0342
FND011,2026-01-14,0.9921
FND009,2026-04-24,1.2177
FND020,2025-09-04,1.7629
FND001,2025-08-11,1.3264
FND014,2026-05-27,0.7448
FND018,2026-05-19,1.4275
FND006,2025-07-24,0.8191
FND019,2026-04-20,1.3039
FND014,2026-02-19,0.8004
FND019,2026-02-10,1.3303
fnd019,2026-05-04,1.3161
FND017,2026-04-29,1.3299
FND008,2026-05-06,3.7542
FND008,2026-02-16,3.6414
FND016,2025-09-26,1.4082
FND003,2025-11-14,1.1379
FND002,2025-11-03,1.256
FND001,19 Sep 2025,1.4979
FND003,2026-05-26,1.1441
FND008,2026-04-23,3.6705
FND005,2026-01-08,1.0332
FND001,17 Apr 2026,1.636
FND006,2025-07-08,0.8423
FND011,2025-07-24,1.0318
FND018,2025-07-25,1.3451
FND018,2026-05-06,
FND013,2026-05-25,1.3114
FND011,2025-07-11,1.0252
FND006,2026-06-11,0.7679
FND017,2026-04-13,1.306
FND012,2026-01-23,2.1713
FND019,2025-08-11,1.2256
